r_min;r_max;C-pos [keV];dC-pos [keV];C-pos [ch];dC-pos [ch];FWHM [keV];dFWHM [keV];FWHM [ch];dFWHM [ch];Area [ct];dArea [ct];Area [ct/s];dArea [ct/s];Comment
1362;1655;663.638;0.12;1507.658;0.24;46.160;0.24;94.047;0.48;33251;199;86.8243;0.60;cs137_661.62
2703;3068;1419.140;0.34;2879.755;0.57;66.015;0.76;109.997;1.3;10368;133;2.42642;1.28;eu152_1408.08
2222;2528;1112.815;0.46;2353.196;0.81;73.058;1.4;129.751;2.4;21573;558;5.04873;2.59;eu152_1112.07
2001;2223;973.839;0.62;2102.318;1.1;52.126;1.9;95.680;3.6;9675;504;2.26411;5.21;eu152_964.00
1634;1866;784.840;0.51;1746.776;0.99;49.105;1.6;94.753;3;13306;565;3.11389;4.24;eu152_778.90
729;956;342.387;0.059;830.044;0.13;30.696;0.15;68.798;0.33;113223;593;26.4973;0.52;eu152_344.30
2390;2628;1186.297;0.53;2487.529;0.94;57.423;1.5;101.416;2.6;9013;343;4.81649;3.81;co60_1173.23
2629;2947;1343.503;0.38;2761.069;0.66;63.616;0.92;109.106;1.6;8271;136;4.42012;1.64;co60_1332.51
2553;2786;1285.880;1;2667.456;1.7;47.817;2.5;81.697;4.3;818;49;0.349448;5.97;na22_1274.53
1214;1459;574.533;0.097;1324.899;0.2;43.025;0.25;89.503;0.52;78365;522;66.8081;0.67;bi207_569.67
2136;2450;1074.210;0.2;2290.723;0.36;60.202;0.45;108.468;0.82;24554;202;20.933;0.82;bi207_1063.62
3347;3544;1768.803;1.8;3443.365;2.8;66.806;6.3;102.519;9.6;950;131;0.809796;13.79;bi207_1770.22
